Track,Artist,Position
THE SCOTTS,Travis Scott,1
Blinding Lights,The Weeknd,2
Toosie Slide,Drake,3
Roses - Imanbek Remix,SAINt JHN,4
Don't Start Now,Dua Lipa,5
death bed (coffee for your head) (feat. beabadoobee),Powfu,6
Righteous,Juice WRLD,7
Dance Monkey,Tones And I,8
The Box,Roddy Ricch,9
Blueberry Faygo,Lil Mosey,10
